Wavelength,Flux,BestFit,SkyFlux
4171.575,4.421,7.355,43.739
4172.535,6.104,6.896,40.400
4173.497,7.596,6.720,37.669
4174.457,6.507,7.144,37.558
4175.417,8.879,7.347,38.691
4176.380,6.295,7.088,39.810
4177.341,2.098,6.827,40.010
4178.304,5.184,7.042,39.438
4179.265,8.018,7.141,39.313
4180.229,4.534,6.975,40.401
4181.191,6.933,7.081,41.343
4182.155,6.987,7.511,40.216
4183.117,7.822,7.242,39.138
4184.079,3.615,7.020,39.586
4185.044,5.794,6.951,40.429
4186.007,7.228,7.001,40.599
4186.972,7.810,7.177,39.547
4187.935,5.142,7.148,37.707
4188.901,5.427,7.022,36.525
4189.865,10.554,6.771,37.504
4190.829,5.304,6.835,39.923
4191.795,7.991,7.250,41.019
4192.759,8.014,7.376,41.058
4193.726,7.165,6.750,41.836
4194.691,9.031,6.972,42.205
4195.658,8.040,7.093,41.226
4196.624,6.075,6.876,39.547
4197.589,4.096,6.807,38.105
4198.557,5.578,7.046,36.757
4199.523,8.392,6.722,35.038
4200.491,7.868,6.476,35.532
4201.457,7.822,6.953,36.570
4202.426,5.788,7.269,36.083
4203.393,7.792,7.284,35.029
4204.360,7.648,7.560,36.506
4205.330,6.651,7.488,37.540
4206.297,4.792,7.014,38.599
4207.267,3.469,7.134,40.261
4208.235,6.123,7.226,43.035
4209.205,8.033,7.152,42.795
4210.174,7.363,7.433,41.847
4211.142,7.733,7.566,40.895
4212.113,7.852,7.359,40.695
4213.082,9.453,7.541,41.530
4214.054,8.997,7.657,41.686
4215.023,8.771,7.484,40.440
4215.995,5.761,7.337,38.891
4216.965,5.757,7.157,38.470
4217.935,5.361,6.993,38.862
4218.908,2.905,6.839,39.478
4219.878,3.092,6.682,40.824
4220.851,4.027,6.616,42.580
4221.822,2.992,6.708,43.644
4222.796,5.951,6.769,42.360
4223.767,5.341,7.001,39.972
4224.739,3.924,7.089,37.702
4225.713,6.339,6.914,34.738
4226.685,6.711,6.977,30.160
4227.660,6.028,7.535,27.306
4228.633,6.915,7.522,29.366
4229.608,6.273,7.894,35.137
4230.581,7.644,7.856,39.961
4231.554,9.155,8.017,41.595
4232.530,6.879,8.260,41.898
4233.504,7.140,7.862,40.539
4234.480,5.837,7.653,39.017
4235.454,5.544,7.524,38.170
4236.431,6.225,7.202,37.009
4237.405,6.191,6.958,35.857
4238.380,4.895,7.292,35.831
4239.357,7.970,9.027,36.792
4240.333,15.733,13.428,37.526
4241.310,24.274,20.304,38.493
4242.286,30.699,26.589,39.256
4243.264,35.526,30.149,38.825
4244.241,40.235,32.506,39.301
4245.217,42.956,35.177,40.726
4246.196,37.019,33.224,41.140
4247.173,29.355,25.210,41.557
4248.152,15.286,16.267,40.087
4249.129,11.402,10.283,37.521
4250.109,6.750,7.732,34.958
4251.087,5.171,6.867,34.583
4252.065,3.385,6.395,36.430
4253.045,4.492,6.178,38.589
4254.024,6.808,6.315,39.498
4255.005,3.202,6.706,38.102
4255.984,7.721,7.176,35.904
4256.965,7.165,7.634,37.441
4257.944,3.602,8.139,40.005
4258.926,11.927,8.696,39.756
4259.906,10.430,8.850,35.948
4260.886,10.060,8.762,31.969
4261.869,8.766,8.696,31.079
4262.849,7.405,8.593,33.712
4263.832,6.577,8.147,37.709
